Event Objective,Objective Status,Topic,# of events this topic is in (from Topic),Discipline / Role (from Topic),Curriculum Event,23-24 Event,Course Name (from Curriculum Event) (from Topic),Event Date
Given the remaining diagnoses on the differential diagnosis; order diagnostic testing to help rule in or rule out diagnosis. (EO-8808),Active,,,,,,,
Elicit physical exam features based on the initial differential diagnosis. (EO-8810),Active,,,,,,,
Prioritize the initial differential diagnosis by probability based on the data gathered and interpreted; eliminating those which can be ruled out. (EO-8807),Active,,,,,,,
Interpret the findings from the cardiovascular exam. (EO-7490),Active,,,,,,,
Define extra heart sounds. (EO-9211),Active,,,,,,,
Recognize the importance of self-directed learning/teaching oneself. (EO-9126),Active,,,,,,,
Re-stratify differential diagnosis based on the results of testing. (EO-8811),Active,,,,,,,
List the common terminology used to document normal and abnormal findings in the cardiovascular exam. (EO-7491),Active,,,,,,,
Utilize descriptive and non-evaluative language to provide feedback. (EO-7692),Active,,,,,,,
Create an initial differential diagnosis based on a chief complaint. (EO-8805),Active,,,,,,,
Elicit historical factors based on the initial differential diagnosis. (EO-8806),Active,,,,,,,
Interpret the findings from a male genitourinary exam (EO-7891),Active,,,,,,,
Interpret a complete blood count. (EO-6344),Active,,,,,,,
Identify any foreign bodies. (EO-4849),Active,,,,,,,
Demonstrate cardiac auscultation techniques. (EO-7487),Active,,,,,,,
Narrow a differential for back pain based on a focused history and physical exam. (EO-9999),Active,,,,,,,
Identify the basic landmarks for cardiovascular exam. (EO-7480),Active,,,,,,,
Recognize the importance of self-directed learning/teaching oneself. (EO-9126),Active,,,,,,,
Utilize a range of teaching methods to conduct an educational activity (e.g.; flipped classroom; team-based learning; lecture; teaching from clinical cases; small group discussion (EO-7047),Active,,,,,,,
Describe each heart sound. (EO-7482),Active,,,,,,,
Describe self-directed learning. (EO-9125),Active,,,,,,,
Elicit historical factors based on the initial differential diagnosis. (EO-8806),Active,,,,,,,
"Identify and select resources and strategies to teach oneself new information and skills, and assess the credibility of these sources. (EO-9127)",Active,,,,,,,
List common normal and abnormal findings of the male genitourinary exam. (EO-7889),Active,,,,,,,
Create an initial differential diagnosis based on a chief complaint. (EO-8805),Active,,,,,,,
Rate the value of teaching in medical school and throughout one’s career. (EO-7048),Active,,,,,,,
Create an initial differential diagnosis based on a chief complaint. (EO-8805),Active,,,,,,,
Recognize the six interacting sources of error and harm. (EO-5960),Active,,,,,,,
"Identify, analyze, synthesize and seek feedback on information needed to address individual learning needs. (EO-9128)",Active,,,,,,,
Describe self-directed learning. (EO-9125),Active,,,,,,,
"Identify and select resources and strategies to teach oneself new information and skills, and assess the credibility of these sources. (EO-9127)",Active,,,,,,,
Given the remaining diagnoses on the differential diagnosis; order diagnostic testing to help rule in or rule out diagnosis. (EO-8808),Active,,,,,,,
Interpret a complete metabolic panel (liver function tests). (EO-6345),Active,,,,,,,
Perform a male genitourinary exam (EO-7890),Active,,,,,,,
